StopName,StationID,Lon,Lat,TOWNNAME,TOWNENG
興楠路,"3087",22.72973600000,120.33299600000,楠梓區,Nanzi District
高松市場,"3494",22.57332400000,120.37121000000,小港區,Xiaogang District
二苓市場,"3142",22.56542100000,120.34973300000,小港區,Xiaogang District
高雄車站(中山路),"1067",22.63706800000,120.30222600000,三民區,Sanmin District
孔鳳路,"3507",22.58145400000,120.35899600000,小港區,Xiaogang District
金城路,"3500",22.58273800000,120.36571100000,小港區,Xiaogang District
高雄餐旅大學(營口路),"3491",22.56629700000,120.37048600000,小港區,Xiaogang District
文殊講堂,"3537",22.61118100000,120.31350000000,前鎮區,Qianzhen District
中華復興路口,"414",22.60577200000,120.30521000000,前鎮區,Qianzhen District
大華里(澄清路),"292",22.64683200000,120.34682900000,三民區,Sanmin District
新興高中,"2290",22.62489900000,120.30576200000,新興區,Xinxing District
三多四路口,"420",22.61286400000,120.30220400000,苓雅區,Lingya District
鐵路新村,"1441",22.63760000000,120.30838900000,三民區,Sanmin District
光華路口(四維二路),"4496",22.62167700000,120.31723600000,苓雅區,Lingya District
高雄文化中心(和平一路),"2282",22.62736500000,120.31919100000,苓雅區,Lingya District
五福民權路口(高雄高商),"101",22.62614600000,120.31038700000,新興區,Xinxing District
河堤公園,"4532",22.66436500000,120.31300300000,三民區,Sanmin District
復興一路口,"3269",22.63411600000,120.30909800000,新興區,Xinxing District
高雄文化中心(和平一路),"2283",22.62758800000,120.31887100000,苓雅區,Lingya District
建軍路口,"1423",22.62877000000,120.34152200000,鳳山區,Fengshan District
臺鐵正義站(正義路),"3179",22.63371100000,120.34151500000,苓雅區,Lingya District
變電所(中華二路),"3719",22.64594200000,120.29191900000,三民區,Sanmin District
民族派出所,"1158",22.64805600000,120.31706900000,三民區,Sanmin District
河堤公園(明誠二路),"2434",22.66092300000,120.31065200000,左營區,Zuoying District
九如三路口,"3721",22.64167000000,120.29177600000,三民區,Sanmin District
民族派出所,"1159",22.64781500000,120.31647900000,三民區,Sanmin District
高雄女中(真愛碼頭),"333",22.62080700000,120.29206900000,前金區,Qianjin District
鼎山街,"3835",22.65937800000,120.32209200000,三民區,Sanmin District
天鳳宮,"1773",22.58166100000,120.29156300000,旗津區,Qijin District
北汕巷,"1343",22.59884000000,120.27769700000,旗津區,Qijin District
明正國小(捷運草衙站),"1016",22.58066300000,120.32819600000,前鎮區,Qianzhen District
復興國小,"3534",22.60790500000,120.31189800000,前鎮區,Qianzhen District
復興三路,"4461",22.61223100000,120.31114200000,前鎮區,Qianzhen District
輕軌經貿園區站,"3724",22.60090400000,120.30271900000,前鎮區,Qianzhen District
大豐一路口,"667",22.65307800000,120.33112900000,三民區,Sanmin District
輕軌夢時代站(統一時代百貨),"2073",22.59513500000,120.30501500000,前鎮區,Qianzhen District
輕軌凱旋二聖站,"2972",22.61292500000,120.32704000000,苓雅區,Lingya District
憲政路口,"2979",22.63364500000,120.32613400000,苓雅區,Lingya District
重立路口,"3861",22.67826400000,120.31328500000,左營區,Zuoying District
介壽路(左營海軍軍區),"955",22.68090700000,120.28567400000,左營區,Zuoying District
輕軌衛生局站(凱旋二路),"4918",22.62472100000,120.32354400000,苓雅區,Lingya District
左營國小,"3455",22.69083000000,120.29248600000,左營區,Zuoying District
莒光國小,"3060",22.71034700000,120.29629800000,楠梓區,Nanzi District
軍校路,"3351",22.69778500000,120.29218800000,左營區,Zuoying District
建國四路口,"2322",22.62519900000,120.28046300000,鹽埕區,Yancheng District
輕軌壽山公園站,"2324",22.62604400000,120.27772500000,鼓山區,Gushan District
輕軌凱旋公園站(中正一路),"1032",22.62967500000,120.32381000000,苓雅區,Lingya District
建軍站(捷運衛武營站),"74",22.62497700000,120.34322400000,苓雅區,Lingya District
高雄文化中心(和平一路),"2282",22.62736500000,120.31919100000,苓雅區,Lingya District
新堀江,"95",22.62362700000,120.30297000000,新興區,Xinxing District
高雄中學,"2080",22.63779300000,120.29749300000,三民區,Sanmin District
大連街口,"3194",22.64094700000,120.30538300000,三民區,Sanmin District
三信家商,"111",22.62197300000,120.32928200000,苓雅區,Lingya District
七賢二路,"1152",22.63479100000,120.30078400000,新興區,Xinxing District
錦田路口(八德一路),"2557",22.63551200000,120.31019900000,新興區,Xinxing District
忠烈祠,"4528",22.62924000000,120.27751700000,鼓山區,Gushan District
澄清路,"1220",22.64240300000,120.34578700000,三民區,Sanmin District
民壯路口,"3779",22.63931500000,120.34027300000,三民區,Sanmin District
高速公路口,"3128",22.63987400000,120.33815300000,三民區,Sanmin District
常順街口,"2145",22.73290000000,120.33630000000,楠梓區,Nanzi District
亞洲托兒所,"3067",22.71842700000,120.29662200000,楠梓區,Nanzi District
莒光國小,"3061",22.71010800000,120.29620800000,楠梓區,Nanzi District
二苓(二苓路),"3139",22.56543000000,120.34826200000,小港區,Xiaogang District
新豐街口,"3148",22.56721400000,120.36069400000,小港區,Xiaogang District
桂林,"3508",22.58197800000,120.35524600000,小港區,Xiaogang District
營口路,"1828",22.57006100000,120.37070000000,小港區,Xiaogang District
民權一路,"3174",22.62451300000,120.31146900000,新興區,Xinxing District
捷運凱旋站(中山三路)(輕軌前鎮之星站),"3529",22.59798100000,120.31418300000,前鎮區,Qianzhen District
新堀江,"96",22.62385900000,120.30276700000,新興區,Xinxing District
光華路口(中山三路),"3531",22.60243400000,120.31067700000,前鎮區,Qianzhen District
鳳山行政中心(澄清路),"1051",22.63025700000,120.34461900000,鳳山區,Fengshan District
衛武社區,"1008",22.62687500000,120.34429400000,苓雅區,Lingya District
三信家商,"111",22.62197300000,120.32928200000,苓雅區,Lingya District
衛武營都會公園,"2269",22.62416400000,120.33735400000,苓雅區,Lingya District
光華路口(四維二路),"4497",22.62174400000,120.31735500000,苓雅區,Lingya District
新興高中,"2291",22.62445700000,120.30574300000,新興區,Xinxing District
南寧街口,"3357",22.61301500000,120.31683600000,前鎮區,Qianzhen District
鼎貴路口(獅湖國小),"3983",22.67252600000,120.32312500000,三民區,Sanmin District
榮總側門,"2488",22.67971300000,120.32167600000,左營區,Zuoying District
鼎金後路,"3581",22.67082500000,120.32474400000,三民區,Sanmin District
弘揚大第,"4530",22.66628300000,120.31451300000,三民區,Sanmin District
林進興醫院(寶獅里),"3184",22.63710600000,120.33913600000,三民區,Sanmin District
高雄科大(建工),"382",22.65147900000,120.32787700000,三民區,Sanmin District
高醫(高雄醫學大學),"4004",22.64653200000,120.30870900000,三民區,Sanmin District
捷運鹽埕埔站(五福四路),"345",22.62291300000,120.28459000000,鹽埕區,Yancheng District
鼎西里,"3593",22.66069000000,120.32190100000,三民區,Sanmin District
鼎金里,"4452",22.66816700000,120.32586700000,三民區,Sanmin District
輕軌凱旋中華站(鎮興路),"3802",22.59290700000,120.31155100000,前鎮區,Qianzhen District
前鎮站,"961",22.59115400000,120.30527400000,前鎮區,Qianzhen District
污水處理廠,"2548",22.58663000000,120.28727000000,旗津區,Qijin District
正勤社區,"412",22.60276600000,120.30539700000,前鎮區,Qianzhen District
前鎮站,"959",22.59161400000,120.30540800000,前鎮區,Qianzhen District
青年路口(復興二路),"4466",22.62327100000,120.30919400000,新興區,Xinxing District
勞工公園(民權二路),"3533",22.60616900000,120.31022000000,前鎮區,Qianzhen District
臺鐵科工館站,"3401",22.63695900000,120.32716100000,三民區,Sanmin District
南聖街口,"3858",22.58828400000,120.30798600000,前鎮區,Qianzhen District
建國路口(凱旋一路),"2977",22.63332100000,120.32044000000,苓雅區,Lingya District
皓東路口,"2996",22.64841300000,120.33191600000,三民區,Sanmin District
高雄工職,"604",22.65060000000,120.32601700000,三民區,Sanmin District
輕軌五權國小站(凱旋二路),"2281",22.62111500000,120.32493000000,苓雅區,Lingya District
左營南站,"1469",22.67935200000,120.28723600000,左營區,Zuoying District
左營南站,"1470",22.67980200000,120.28753500000,左營區,Zuoying District
政德路,"4302",22.68171000000,120.30401000000,左營區,Zuoying District
四海一家,"4845",22.69043600000,120.28814400000,左營區,Zuoying District
軍校路(海功路口),"3458",22.69306400000,120.29228100000,左營區,Zuoying District
煉油廠(捷運世運站),"3054",22.70275500000,120.30269400000,楠梓區,Nanzi District
鼓山輪渡站,"2332",22.61971100000,120.27074000000,鼓山區,Gushan District
亞洲托兒所,"3067",22.71842700000,120.29662200000,楠梓區,Nanzi District
新興高中,"2290",22.62489900000,120.30576200000,新興區,Xinxing District
三信家商,"112",22.62211900000,120.32921200000,苓雅區,Lingya District
麗尊酒店,"2289",22.62697800000,120.31292900000,苓雅區,Lingya District
自來水公園,"2287",22.62753900000,120.31467200000,苓雅區,Lingya District
高雄文化中心(五福國中站),"2284",22.62876800000,120.31765100000,苓雅區,Lingya District
五福瀨南街口,"2320",22.62398700000,120.28257600000,鹽埕區,Yancheng District
大智路(光榮國小),"348",22.62362200000,120.28646200000,鹽埕區,Yancheng District
民族路口(八德一路),"2526",22.63536300000,120.31259200000,新興區,Xinxing District
大智路(光榮國小),"349",22.62355300000,120.28656900000,鹽埕區,Yancheng District
大順路口(九如一路),"3120",22.63920900000,120.32639100000,三民區,Sanmin District
澄清澄和路口,"2902",22.64390100000,120.34615100000,三民區,Sanmin District
駁二藝術特區(大智路),"2617",22.62093500000,120.28509100000,鹽埕區,Yancheng District
忠誠路口,"2300",22.65806400000,120.36097400000,鳥松區,Niaosong District
建楠路,"77",22.72679900000,120.32844700000,楠梓區,Nanzi District
左營農會,"698",22.68246500000,120.28831400000,左營區,Zuoying District
慈愛大樓,"3063",22.71309700000,120.29388300000,楠梓區,Nanzi District
二苓國小(捷運小港站),"3484",22.56566700000,120.35174200000,小港區,Xiaogang District
孔鳳路,"3506",22.58148600000,120.35930500000,小港區,Xiaogang District
加昌路口(捷運後勁站),"3083",22.72382900000,120.31628200000,楠梓區,Nanzi District
二苓路,"3025",22.56547500000,120.34702900000,小港區,Xiaogang District
合群新村,"3487",22.56571100000,120.36483600000,小港區,Xiaogang District
中安路口(明聖街),"3516",22.58252000000,120.34471900000,小港區,Xiaogang District
三多四路口,"421",22.61216900000,120.30239100000,苓雅區,Lingya District
五塊厝(三多一路),"114",22.62310400000,120.33199800000,苓雅區,Lingya District
大華里(澄清路),"293",22.64685800000,120.34713000000,三民區,Sanmin District
長庚醫院,"655",22.65075300000,120.35689100000,鳥松區,Niaosong District
正勤路,"411",22.60218300000,120.30346100000,前鎮區,Qianzhen District
新堀江,"95",22.62362700000,120.30297000000,新興區,Xinxing District
果菜公司,"387",22.64503300000,120.31463600000,三民區,Sanmin District
廣東一街口,"4499",22.62260200000,120.32005300000,苓雅區,Lingya District
金獅湖站,"3548",22.66626300000,120.32164100000,三民區,Sanmin District
京城世界,"4533",22.66364900000,120.31447100000,三民區,Sanmin District
六合夜市(大港埔),"3349",22.63351900000,120.30188200000,新興區,Xinxing District
建國一路,"2862",22.62957800000,120.33902900000,苓雅區,Lingya District
正義路,"3177",22.63164900000,120.33984200000,苓雅區,Lingya District
青島街口,"3189",22.64081500000,120.30973600000,三民區,Sanmin District
建工路,"1396",22.64844100000,120.31875100000,三民區,Sanmin District
三民市場,"3034",22.63582300000,120.29326200000,三民區,Sanmin District
捷運鹽埕埔站(大仁路),"2609",22.62522900000,120.28531500000,鹽埕區,Yancheng District
鳳鳴電台,"3199",22.64172500000,120.29736700000,三民區,Sanmin District
天聖宮,"2780",22.59664800000,120.27900700000,旗津區,Qijin District
輕軌凱旋中華站(鎮興路),"3801",22.59304500000,120.31155400000,前鎮區,Qianzhen District
污水處理廠,"2549",22.58675300000,120.28743600000,旗津區,Qijin District
敦和街,"4382",22.57112200000,120.29939100000,旗津區,Qijin District
輕軌經貿園區站,"3725",22.60094800000,120.30266300000,前鎮區,Qianzhen District
台糖物流,"3723",22.59811800000,120.30374200000,前鎮區,Qianzhen District
中正路口(復興一路),"4474",22.63191300000,120.30819600000,新興區,Xinxing District
民裕街口,"4456",22.60660300000,120.31466200000,前鎮區,Qianzhen District
瑞祥高中(凱旋四路),"2966",22.60409800000,120.32410700000,前鎮區,Qianzhen District
前鎮站,"961",22.59115400000,120.30527400000,前鎮區,Qianzhen District
輕軌凱旋瑞田站,"2671",22.59958500000,120.31972300000,前鎮區,Qianzhen District
憲政路口,"2980",22.63396100000,120.32596400000,苓雅區,Lingya District
榮總側門,"2488",22.67971300000,120.32167600000,左營區,Zuoying District
先鋒路,"1057",22.67817500000,120.28267300000,左營區,Zuoying District
大順覺民路口(科工館),"2984",22.64093500000,120.32725700000,三民區,Sanmin District
榮總側門,"2488",22.67971300000,120.32167600000,左營區,Zuoying District
慈愛大樓,"3063",22.71309700000,120.29388300000,楠梓區,Nanzi District
軍校路,"3350",22.69764800000,120.29265400000,左營區,Zuoying District
海景街(合群社區),"4838",22.69693900000,120.28757400000,左營區,Zuoying District
自來水公園,"2286",22.62783400000,120.31487000000,苓雅區,Lingya District
五福民權路口(高雄高商),"102",22.62614900000,120.30991700000,新興區,Xinxing District
世運主場館,"640",22.70071400000,120.29814700000,楠梓區,Nanzi District
國軍高雄總醫院(捷運衛武營站),"2313",22.62519100000,120.34027800000,苓雅區,Lingya District
輔仁路口(三多一路),"2272",22.62368300000,120.33390400000,苓雅區,Lingya District
高雄車站(站東路),"5948",22.63964300000,120.30361600000,三民區,Sanmin District
同慶路,"4126",22.62738500000,120.32050900000,苓雅區,Lingya District
國際商工(輕軌五權國小站),"110",22.62119200000,120.32652300000,苓雅區,Lingya District
建國四路口,"2323",22.62501400000,120.28058100000,鹽埕區,Yancheng District
鼓山派出所,"4492",22.63470000000,120.28268300000,鼓山區,Gushan District
澄清湖棒球場,"1221",22.65523000000,120.36019000000,鳥松區,Niaosong District
大智路(光榮國小),"349",22.62355300000,120.28656900000,鹽埕區,Yancheng District
文前路口,"2377",22.66337300000,120.36236200000,鳥松區,Niaosong District
長庚醫院,"655",22.65075300000,120.35689100000,鳥松區,Niaosong District
捷運前金站,"2660",22.62896100000,120.29423100000,前金區,Qianjin District
仁翔社區,"3085",22.73663900000,120.33707600000,楠梓區,Nanzi District
澄清湖,"1000",22.65337800000,120.34949900000,鳥松區,Niaosong District
復興新村,"3051",22.69606700000,120.30067000000,左營區,Zuoying District
高雄科大(楠梓),"3081",22.72481100000,120.31382100000,楠梓區,Nanzi District
自立路口,"2278",22.63416700000,120.29838400000,新興區,Xinxing District
小港高中,"3143",22.56677800000,120.35758500000,小港區,Xiaogang District
合群新村,"3486",22.56552000000,120.36492700000,小港區,Xiaogang District
中山國中,"2525",22.56694800000,120.35511400000,小港區,Xiaogang District
三多市場(民權二路),"3540",22.61632700000,120.31466600000,前鎮區,Qianzhen District
民權公園,"3538",22.61406400000,120.31453600000,前鎮區,Qianzhen District
高雄高商(五褔二路),"100",22.62552900000,120.30783600000,新興區,Xinxing District
中華復興路口,"415",22.60593000000,120.30466000000,前鎮區,Qianzhen District
建軍站(捷運衛武營站),"74",22.62497700000,120.34322400000,苓雅區,Lingya District
忠誠路口,"2299",22.65802700000,120.36080900000,鳥松區,Niaosong District
覺民路口(澄清路),"1218",22.63786400000,120.34463800000,三民區,Sanmin District
三多市場(三多三路),"3669",22.61716200000,120.31386200000,苓雅區,Lingya District
七賢二路,"1152",22.63479100000,120.30078400000,新興區,Xinxing District
果菜公司,"386",22.64512100000,120.31423500000,三民區,Sanmin District
高雄文化中心(五福國中站),"2285",22.62860900000,120.31754400000,苓雅區,Lingya District
建國忠孝路口,"2865",22.63756900000,120.30626700000,三民區,Sanmin District
榮佑路,"1490",22.68194000000,120.32075800000,左營區,Zuoying District
中正高工(國軍高雄門診中心),"4041",22.61013400000,120.31715100000,前鎮區,Qianzhen District
四維路口(光華一路),"3913",22.62072700000,120.31696800000,苓雅區,Lingya District
文藻外語大學(民族一路),"876",22.67069500000,120.31755200000,左營區,Zuoying District
文藻外語大學(民族一路),"877",22.67072000000,120.31744000000,左營區,Zuoying District
正義路,"3178",22.63174000000,120.33974500000,苓雅區,Lingya District
左營大路,"701",22.68621200000,120.29123500000,左營區,Zuoying District
大順路口(建工路),"1818",22.64918000000,120.32269800000,三民區,Sanmin District
通化街口,"3203",22.64201900000,120.29308600000,三民區,Sanmin District
七賢二路口(中華三路),"3031",22.63334100000,120.29442000000,前金區,Qianjin District
七賢二路口(中華三路),"3032",22.63407200000,120.29395100000,前金區,Qianjin District
金獅湖,"4454",22.66608000000,120.32515800000,三民區,Sanmin District
前鎮高中,"98",22.58711600000,120.32022100000,前鎮區,Qianzhen District
大智路口(五福四路),"3909",22.62195100000,120.28695200000,鹽埕區,Yancheng District
中洲國小,"1792",22.57810000000,120.29457800000,旗津區,Qijin District
風車公園,"998",22.58984100000,120.28464300000,旗津區,Qijin District
小港國中,"3617",22.56732100000,120.33792900000,小港區,Xiaogang District
廣濟宮,"4385",22.57617200000,120.29601200000,旗津區,Qijin District
市政大樓(復興二路),"4465",22.62014100000,120.31029800000,苓雅區,Lingya District
建國林森路口,"258",22.63765900000,120.30436400000,三民區,Sanmin District
大慶街口,"2989",22.65123100000,120.33264000000,三民區,Sanmin District
建國路口(凱旋一路),"2978",22.63313200000,120.32031300000,三民區,Sanmin District
藝術公園,"4046",22.60530600000,120.31302900000,前鎮區,Qianzhen District
皓東路,"2993",22.64925200000,120.33424100000,三民區,Sanmin District
凱旋醫院(高師大),"2308",22.62342900000,120.32411200000,苓雅區,Lingya District
蓮潭會館,"692",22.67822500000,120.29955900000,左營區,Zuoying District
介壽路(左營海軍軍區),"956",22.68108200000,120.28562800000,左營區,Zuoying District
