COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
"63000","臺北市","63000020","信義區",88.9900000000000000,2.30,18395.21,53.52,15.87,37.64,237.15,"113Y06M"
"63000","臺北市","63000030","大安區",86.0200000000000000,2.43,25679.58,63.69,23.62,40.06,169.59,"113Y06M"
"63000","臺北市","63000040","中山區",84.7200000000000000,2.13,15793.04,52.85,16.75,36.10,215.49,"113Y06M"
"63000","臺北市","63000050","中正區",89.1900000000000000,2.28,19697.13,60.52,25.03,35.49,141.77,"113Y06M"
"63000","臺北市","63000060","大同區",91.7800000000000000,2.24,21085.45,52.26,18.04,34.22,189.73,"113Y06M"
"63000","臺北市","63000070","萬華區",93.5900000000000000,2.17,19504.76,49.83,12.81,37.02,288.96,"113Y06M"
"63000","臺北市","63000080","文山區",90.3000000000000000,2.38,8247.99,48.25,17.84,30.42,170.55,"113Y06M"
"63000","臺北市","63000090","南港區",93.1000000000000000,2.35,5195.26,46.62,16.57,30.06,181.44,"113Y06M"
"63000","臺北市","63000100","內湖區",89.5800000000000000,2.47,8729.11,47.11,19.75,27.35,138.46,"113Y06M"
"63000","臺北市","63000110","士林區",91.6400000000000000,2.46,4266.63,53.57,17.32,36.24,209.20,"113Y06M"
"63000","臺北市","63000120","北投區",90.6400000000000000,2.43,4256.50,51.41,18.59,32.82,176.50,"113Y06M"
"68000","桃園市","68000010","桃園區",92.5200000000000000,2.44,13601.62,41.56,19.92,21.65,108.70,"113Y06M"
"68000","桃園市","68000020","中壢區",95.0200000000000000,2.48,5657.17,41.55,19.75,21.80,110.39,"113Y06M"
"68000","桃園市","68000030","大溪區",102.5100000000000000,2.66,899.80,43.46,17.45,26.01,149.03,"113Y06M"
"68000","桃園市","68000040","楊梅區",99.4400000000000000,2.65,2026.81,39.93,19.26,20.68,107.37,"113Y06M"
"68000","桃園市","68000050","蘆竹區",97.1800000000000000,2.62,2244.87,38.05,19.69,18.36,93.26,"113Y06M"
