OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH10002383492,10002383492,仁美活動中心,Renmei Community Center, ,5022, ,2024/10/30,KHH,22.653702,120.393741,B1E0010069V090
-1,KHH10002383432,10002383432,圓照寺,Yuanjhao Temple, ,4799, ,2024/10/30,KHH,22.662638,120.382244,B1E0010069V090
-1,KHH100024105501,1.00024E+11,獅湖國小(鼎中路),Shihhu Elementary School(Dingzhong Rd.), ,675, ,2024/10/30,KHH,22.674207,120.321861,B1E0010069V090
-1,KHH100024123102,1.00024E+11,活動中心(鳥松區),Community Center(Niaosong District), ,4802, ,2024/10/30,KHH,22.660547,120.380695,B1E0010069V090
-1,KHH100024131162,1.00024E+11,大灣,Da Wan, ,2197, ,2024/10/30,KHH,22.680097,120.35015,B1E0010069V090
-1,KHH100024146991,1.00024E+11,天皇別墅,Royal Villa, ,4911, ,2024/10/30,KHH,22.663947,120.375668,B1E0010069V090
-1,KHH10002462152,10002462152,鳥松國中,Niao Song Junior High School, ,4034, ,2024/10/30,KHH,22.665763,120.371118,B1E0010069V090
-1,KHH1000251841,1000251841,五甲派出所,Wujia Police Station, ,2838, ,2024/10/30,KHH,22.597624,120.335208,B1E0010069V090
-1,KHH10002519942,10002519942,光華路口(中山三路),Guanghua Rd. Intersection(Jhongshan 3rd Rd.), ,3531, ,2024/10/30,KHH,22.602434,120.310677,B1E0010069V090
-1,KHH1000252732,1000252732,五甲市場,Wujia Market, ,1326, ,2024/10/30,KHH,22.595701,120.33162,B1E0010069V090
-1,KHH10002559412,10002559412,一甲(鳳山),Yijia(Fongshan), ,4514, ,2024/10/30,KHH,22.599971,120.338643,B1E0010069V090
-1,KHH10002586702,10002586702,五甲國小,Wu Jia Elementary School, ,3605, ,2024/10/30,KHH,22.598325,120.336316,B1E0010069V090
-1,KHH1000259371,1000259371,大成街口(輕軌真愛碼頭站),Dacheng St. Intersection(LRT Love Pier Station）, ,3907, ,2024/10/30,KHH,22.621192,120.288549,B1E0010069V090
